AIS,Município,Dia da Semana,Data,Hora,Quantidade (Kg),Tipo de Entorpecente
AIS 07,Fortaleza,Quinta,2009-01-01,04,0.001,Maconha
AIS 03,Fortaleza,Quinta,2009-01-01,09,0.045,Maconha
AIS 07,Fortaleza,Quinta,2009-01-01,04,0.001,Maconha
AIS 09,Fortaleza,Sábado,2009-01-03,21,0.055,Maconha
AIS 09,Fortaleza,Sábado,2009-01-03,21,0.0043,Crack
AIS 09,Fortaleza,Sábado,2009-01-03,21,0.004,Crack
AIS 06,Fortaleza,Sábado,2009-01-03,18,0.001,Maconha
AIS 04,Fortaleza,Sábado,2009-01-03,19,0.001,Maconha
AIS 06,Fortaleza,Domingo,2009-01-04,17,0.026,Maconha
AIS 09,Fortaleza,Segunda,2009-01-05,13,0.0002,Crack
AIS 10,Fortaleza,Segunda,2009-01-05,19,0.0005,Crack
AIS 03,Fortaleza,Terça,2009-01-06,09,0.02,Maconha
AIS 03,Fortaleza,Terça,2009-01-06,11,0.023,Crack
AIS 03,Fortaleza,Terça,2009-01-06,11,0.023,Crack
AIS 09,Fortaleza,Quarta,2009-01-07,20,0.0005,Maconha
AIS 04,Fortaleza,Sexta,2009-01-09,10,5e-05,Maconha
AIS 10,Fortaleza,Sábado,2009-01-10,23,0.0185,Maconha
AIS 01,Fortaleza,Domingo,2009-01-11,15,0.015,Crack
AIS 01,Fortaleza,Domingo,2009-01-11,15,0.004,Maconha
AIS 01,Fortaleza,Domingo,2009-01-11,15,0.003,Cocaína
AIS 03,Fortaleza,Segunda,2009-01-12,10,0.01,Cocaína
AIS 04,Fortaleza,Terça,2009-01-13,08,0.073,Crack
AIS 04,Fortaleza,Terça,2009-01-13,08,0.032,Maconha
AIS 01,Fortaleza,Quarta,2009-01-14,00,0.014,Maconha
AIS 03,Fortaleza,Quarta,2009-01-14,16,1e-05,Crack
AIS 01,Fortaleza,Quarta,2009-01-14,00,0.014,Maconha
AIS 08,Fortaleza,Quinta,2009-01-15,22,0.022,Maconha
AIS 07,Fortaleza,Sexta,2009-01-16,10,0.00085,Maconha
AIS 03,Fortaleza,Sábado,2009-01-17,12,0.004,Cocaína
AIS 08,Fortaleza,Domingo,2009-01-18,11,0.006,Maconha
AIS 05,Fortaleza,Segunda,2009-01-19,13,0.001,Cocaína
AIS 05,Fortaleza,Segunda,2009-01-19,16,0.05,Crack
AIS 05,Fortaleza,Segunda,2009-01-19,16,0.05,Crack
AIS 03,Fortaleza,Segunda,2009-01-19,17,0.0668,Crack
AIS 03,Fortaleza,Segunda,2009-01-19,17,0.0626,Cocaína
AIS 07,Fortaleza,Terça,2009-01-20,10,0.003,Crack
AIS 07,Fortaleza,Terça,2009-01-20,10,0.003,Maconha
AIS 10,Fortaleza,Terça,2009-01-20,17,0.0035,Maconha
AIS 10,Fortaleza,Terça,2009-01-20,17,0.0025,Crack
AIS 04,Fortaleza,Quarta,2009-01-21,17,0.008,Maconha
AIS 08,Fortaleza,Quarta,2009-01-21,10,0.036,Crack
AIS 09,Fortaleza,Quarta,2009-01-21,00,0.0005,Crack
AIS 04,Fortaleza,Quinta,2009-01-22,10,0.002,Crack
AIS 05,Fortaleza,Quinta,2009-01-22,01,0.0105,Cocaína
AIS 05,Fortaleza,Quinta,2009-01-22,14,0.798,Crack
AIS 05,Fortaleza,Quinta,2009-01-22,14,0.152,Cocaína
AIS 01,Fortaleza,Quinta,2009-01-22,16,0.05,Crack
AIS 01,Fortaleza,Sexta,2009-01-23,22,0.03,Cocaína
AIS 10,Fortaleza,Sexta,2009-01-23,17,0.012,Maconha
AIS 07,Fortaleza,Sexta,2009-01-23,07,0.0065,Maconha
AIS 07,Fortaleza,Sexta,2009-01-23,17,0.6,Maconha
AIS 10,Fortaleza,Sábado,2009-01-24,19,0.0055,Maconha
AIS 10,Fortaleza,Sábado,2009-01-24,19,0.0015,Cocaína
AIS 01,Fortaleza,Sábado,2009-01-24,00,0.03,Cocaína
AIS 10,Fortaleza,Sábado,2009-01-24,21,0.004,Cocaína
AIS 10,Fortaleza,Segunda,2009-01-26,10,0.012,Maconha
AIS 04,Fortaleza,Segunda,2009-01-26,22,0.1,Crack
AIS 04,Fortaleza,Segunda,2009-01-26,22,0.1,Crack
AIS 08,Fortaleza,Terça,2009-01-27,03,0.658,Maconha
AIS 03,Fortaleza,Quinta,2009-01-29,13,0.004,Crack
AIS 10,Fortaleza,Quinta,2009-01-29,20,0.0005,Cocaína
AIS 07,Fortaleza,Quinta,2009-01-29,16,0.04,Maconha
AIS 03,Fortaleza,Sexta,2009-01-30,15,0.005,Crack
AIS 03,Fortaleza,Sábado,2009-01-31,12,0.4,Crack
AIS 06,Fortaleza,Domingo,2009-02-01,01,0.007,Maconha
AIS 10,Fortaleza,Domingo,2009-02-01,16,0.0003,Crack
AIS 09,Fortaleza,Terça,2009-02-03,21,0.002,Maconha
AIS 09,Fortaleza,Terça,2009-02-03,21,0.001,Crack
AIS 09,Fortaleza,Terça,2009-02-03,21,0.002,Maconha
AIS 07,Fortaleza,Terça,2009-02-03,00,0.002,Maconha
AIS 09,Fortaleza,Quarta,2009-02-04,20,0.015,Maconha
AIS 09,Fortaleza,Quarta,2009-02-04,20,0.006,Crack
AIS 06,Fortaleza,Quinta,2009-02-05,13,0.004,Maconha
AIS 01,Fortaleza,Sexta,2009-02-06,13,0.0265,Maconha
AIS 01,Fortaleza,Sexta,2009-02-06,13,0.0075,Crack
AIS 07,Fortaleza,Sexta,2009-02-06,22,0.018,Maconha
AIS 10,Fortaleza,Sexta,2009-02-06,03,0.0002,Cocaína
AIS 10,Fortaleza,Sexta,2009-02-06,03,2e-05,Crack
AIS 06,Fortaleza,Sexta,2009-02-06,17,0.02,Crack
AIS 09,Fortaleza,Domingo,2009-02-08,14,0.005,Crack
AIS 10,Fortaleza,Segunda,2009-02-09,17,1e-05,Maconha
AIS 07,Fortaleza,Terça,2009-02-10,20,0.0005,Cocaína
AIS 04,Fortaleza,Terça,2009-02-10,23,4.982,Maconha
AIS 06,Fortaleza,Terça,2009-02-10,23,982.0,Maconha
AIS 02,Fortaleza,Quarta,2009-02-11,16,0.002,Maconha
AIS 07,Fortaleza,Quarta,2009-02-11,15,0.145,Crack
AIS 07,Fortaleza,Quarta,2009-02-11,15,0.0025,Maconha
AIS 06,Fortaleza,Quarta,2009-02-11,00,0.001,Maconha
AIS 03,Fortaleza,Quinta,2009-02-12,15,0.00405,Cocaína
AIS 05,Fortaleza,Quinta,2009-02-12,22,0.005,Maconha
AIS 10,Fortaleza,Quinta,2009-02-12,09,0.003,Cocaína
AIS 06,Fortaleza,Quinta,2009-02-12,19,5e-05,Crack
AIS 10,Fortaleza,Sexta,2009-02-13,16,0.044,Maconha
AIS 10,Fortaleza,Sexta,2009-02-13,16,0.0044,Crack
AIS 10,Fortaleza,Sexta,2009-02-13,16,0.001,Cocaína
AIS 08,Fortaleza,Sábado,2009-02-14,01,0.004,Crack
